"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"21191","6.4","15.9","25","2.3","26.3","16.6","25.3","5.7","6.1","5","0.0067217853061773206","0.6789003159239094","1.008267795926598"
"47139","6.5","20.7","22.5","1.5","17.4","17.7","23.2","8.2","3.7","6.6","0.0237741456166419","1.6166419019316494","1.8127786032689452"
"26005","6.4","16.7","13.1","2.2","19.1","8.7","17","13.2","5.7","3.5","0","0.9146560390636219","1.3697400545741778"
"37185","5.8","25.6","28.2","2.2","25.2","14.3","35.4","62.3","8.9","9.1","0.12397482357428952","3.9814991417127596","4.100705702841885"
"19169","6.4","12.3","22.9","0.6","29.4","3.1","25.3","17.2","3.1","5.4","0.004467177413950995","0.5483460275624846","1.4641173974224386"
"40051","6.4","16.4","17.1","2.6","15.7","9.8","18.1","19.7","5.1","4.5","0.05149625221719975","0.6484713242165895","1.0604413419541874"
"51037","6.2","21.9","32.3","1.7","21.1","15.5","27.8","32","5.9","4.1","0.8501509613856666","3.2893691403146352","3.4562211981566824"
"22059","6.3","16.8","17.4","3","13","18.9","25.3","17.5","9.8","6.3","0.02686366689053056","0.7387508394895903","1.3163196776359973"
"39143","6.5","18.9","16.8","1","20.5","7.4","21.5","16.9","5.2","5.5","0","0.7367419270149645","1.767196114465739"
"32031","6.1","16.4","11.8","4.1","28.7","11.5","18.5","38.9","6.3","5","0.011865014107501773","0.28120083434779203","1.6354735445780446"
"47173","6.4","17.9","30.5","2.3","16.2","20.8","26.6","4.4","5.8","5.8","0.04186508974828615","1.8263645402689832","1.8943953111099483"
"39113","6.4","17.8","12.7","1.4","26.3","9","24","30.3","8.2","6.1","0","1.1544362079629564","2.8795503342034894"
"26077","6.4","15","10.6","1.2","25.4","5.7","22.5","23.6","6.8","6.7","0.0003994711002632514","0.7130559139699039","2.090831738777858"
